,Document,Topic,Name,Top_n_words,Probability,Representative_document
0,cooperation shah launch world liquid nano fertiliser contain nitrogen phosphorus reduce fertiliser import dependence also take country sustainable farming increase farmer income bring input cost second variant fertiliser first series launch bottle replace bag traditional ammonium phosphate manufacturing unit establish kalol gujarat paradeep variant liquid fertiliser launch fertiliser commercial sale rs bottle less current price conventional shah say liquid dap spray plant help increase quality quantity production also help conserve soil farmer use liquid liquid increase number earthworm land thus move natural farming reduce production income add contribute lot restore fertility land reduce threat health crore cause chemical fertiliser say minister exhort farmer maximise liquid crore estimate production crore bottle dap replace lakh tonne conventional import lakh tonne lakh tonne dap lakh tonne mop muriate potash lakh tonne npk fertiliser shah note application variant help reduce usage granular urea dap initially later speak government effort strengthen cooperative sector shah say government decide create lakh new viable multi dimensional primary agricultural credit society pac cover uncovered panchayat country year convergence various exist scheme department fishery dairye also say model law pac send state already adopt model law say multi dimensional pac single pac create combine pac provide multi usage service fishery provide financial loan farmer dairy rejuvenate pac also help improve income minister add,-1,-1_say_joint_also_year,say - joint - also - year - wrestler - collagen - woman - state - take - first,0.0,False
1,convict godhra train burning case grant bail serve year prison get relief eve i d year old abdul gaddi asla jail year year old mohd jail nearly year year old anwar mohammad medha jail year year old nearly year year old nearly year year old ayub gani nearly year year nearly year year old year solicitor general tushar object bail plea anwar mohammad medha jail year year mehboob yakub mitha year siddik year ground find actively participate pelt stone train prevent people escape fireand injure bench accept plea reject bail plea apply principle grant bail convict buy petrol day incident store sprinkling coach prior set fire bench reject bail plea siraj undergo year incarceration respectively state government early inform court convict pelt stone fire truck prevent reach burn train save life,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,0.8741432547179682,False
2,unit assert grand old party form government poll next year opposition party put faith rahul say major opposition party make massive effort ensure coalition government head form centre several opposition party strong faith rahul gandhi coalition government head form centre major opposition party make effort regard say address party conference border assam exude confidence win assembly poll,0,0_say_court_party_government,say - court - party - government - police - leader - case - state - people - judge,1.0,False
3,disagreement republican raise government tn debt limit cause alarm credit first alarm bell start go brinkmanship raise government debt limit raise worry financial market stake immense republican argue raise cap set government borrowing debate happen many time time end default defy increase failure find fix spell disaster many least holder debt get promise payment time economist widely expect recession follow potential chaos market treasury foundation financial market world top kind investment set price stock foreign currency stock remain mostly calm late debt ceiling drama volatility strategist capital point corner market fear pop short term yield mature month yield example investor willing wait month month yield much fat gap month month treasury yield get close percentage point recently investor herd month treasury look likely mature mayhem occur context gap month treasury typically percentage point last decade move exacerbate flood cash look new home recently household company yank deposit bank last month fear rise follow large bank failure history much cash end short term treasury nervousness rise call date investor expect potentially default creep forward talk possibility hit date early director policy research say see mark increase question client debt ceiling conventional wisdom client contact resolution unthinkable become reality date come matter happen government need pay borrow already regardless much spend future economist also say unsustainable path make big change come debt debt ceiling battle component impact investor battle political underlying economic issue debt sustainability say goodwin economist investment real cost brinkmanship even outright disaster avoid,1,1_inflation_price_growth_year,inflation - price - growth - year - month - market - high - rise - rate - say,0.8086029805936655,False
4,garage set unveil second fully electric offering comet launch compete electric car top spot urban segment past week lot excitement build micro ev expect comet term specification feature packaging comet compact metre length approximately metre width expect come single option offer claim range km full charge also report single motor comet able produce torque complete charge kw charger expect hour percent hour percent comet unlikely get fast charge capability bit expect get inch alloy wheel front disc brake rear drum brake front link coil suspension rear medium showcase already unveil comet get inch digital screen instrumentation infotainment pair modern interior theme speak steering wheel also get multi function button bit include lead lighter front rear ev lead lamp price comet expect showroom mark,2,2_get_battery_also_new,get - battery - also - new - launch - electric - make - offer - vehicle - price,1.0,False
5,many time take car wheeler authorise service centre pay labour charge even small repair adjustment usually make effort protect vehicle warranty manufacturer happy void even small discrepancy well soon past department consumer affair launch right repair initiative portal protect vehicle warranty even get repair make third party workshop currently live wheeler manufacturer hero motorcycle scooter already come onboard also act resource self repair manual feature authorise third party repair party detail right repair democratise vehicle maintenance first day ownership also require manufacturer share proper repair information manual third party worker diagnostic tool spare part also become accessible consumer workshop remain see manufacturer see right repair obstacle opportunity increase good production currently department consumer affair work onboarde many manufacturer possible right repair certainly step right direction become mainstream overnight overall right repair cover major sector electronic consumer durable automobile equipment farming equipment also mean personal device home appliance protect right repair scheme havell oppo several electronics brand already portal right repair become sell factor next vehicle purchase,2,2_get_battery_also_new,get - battery - also - new - launch - electric - make - offer - vehicle - price,1.0,False
6,heatwave warning temperature expect cross heatwave maximum record near station thane degree celsius people die heatstroke open air state government event score other take ill clearly temperature alone give entire picture heat impact people case risk compound prolong exposure age health parameter victim matrix condition need factored set scale easily understand accurate risk assessment index launch experimental basis aim temperature index take account humidity level give place give equivalent feel temperature range say head current form heat index available spatial map country give feel temperature probability form colour code see graphic green area represent heat index temperature degree end red area show extreme hi temperature exceed degree map plot take account forecast temperature humidity value different place heat usually peak say however index currently work progress heat risk factor colour code represent base index develop value different generally high tolerance heat working value consultation disaster management agency look heat mortality figure health parameter different city currently work complete bhubaneswar ahmedabad say also look factoring parameter night temperature number successive high heat day prior date forecast also impact health people also take account imd aim develop unique heat index well represent factor lead death heat add,3,3_record_temperature_case_degree,record - temperature - case - degree - covid - heat - accord - report - state - say,1.0,False
7,forest official year old elephant reason tusker menace surrounding cause trouble human settlement chinnakanal area ask forest track elephant tranquilize tie radio collar neck keep look movement rather capture name arikomban amalgamation ari mean rice meaning tusker elephant first spot approximately year old muttukadu cardamom estate vaikundam plantation chinnakanal back population area low number house increase respect elephant go far long district collector report guardian people night fear come crash door window add elephant early know tusker steal frequently find colony fear life local move away settlement report arikomban killer bull rice raid affect normal life mission lead wildlife assist many personnel police health motor vehicle department rescue service report tranquilise fit satellite radio collar purchase forest department radio collar worth department monitor movement arikomban future battery collar last year government also make detailed plan attract jumbo include set dummy ration shop grocery rice tranquilize elephant say celebration beat drum burst cracker allow anywhere animal capture transport forest also urge people gather around result scare elephant make difficult capture animal end article,-1,-1_say_joint_also_year,say - joint - also - year - wrestler - collagen - woman - state - take - first,0.0,False
8,seek bolster trade approach external affair say highlighted indian company invest significantly region sector energy mining agriculture automobile address say nation aim explore way upgrade india level cooperation region purpose today highlight grow presence volume approach level annually company invest significantly region energy mining agriculture auto sector say indian company execute project include infrastructure power transmission mining say add also deliver product ship aviation domain even trade concern naturally seek expand volume decision much invest pharmaceutical sector particularly seize challenge endeavour naturally assess comparative ease business country region focus market access issue regulatory complexity non tariff barrier predictability business environment also important factor say statement say covid pandemic truly establish pharmacy world supply almost countrie vaccine country include develop world increase supply relevant medicine fact covid make much health conscious also aware supply chain vulnerability cost also relevant factor look source regionalise production competitive pricing suggest colombian friend natural partner say highlight area potential engagement say also traditional medicine wellness practice strong business implication digital domain also see exceptional progress today start up land unicorn grow interested security artificial intelligence drone space application reach indian business highly recommend say try colombian investor energy also important domain convergence say add significant investment oil sector energy drive much additional demand fossil fuel come decade make strong case sustain partnership also extremely active come electric mobility area potential engagement jaishankar say believe challenge today scale already do time look new domain meet emerge demand equally factor emerge capability end day business go mutually beneficial encouraged policy message stakeholder say day trip visit external affair country caribbean arrive domingo first official visit,-1,-1_say_joint_also_year,say - joint - also - year - wrestler - collagen - woman - state - take - first,0.0,False
9,man team successful ipl team time title woman team inaugural woman incidentally delhi capital team never title deny title first final beat wicket become inaugural champion captaincy harmanpreet kaur curtain come first edition wpl see participation team run day tournament ipl also become good barometer gauge player cut rest cricket country player participate tournament timesofindia com take look good performer inaugural edition wpl run top meg lanne run brunt run run harmanpreet kaur mi run hayley matthew mi run wicket top matthew sophie ishaque score top kaur mi sciver brunt sixe top sophie upw high strike rate top sophie norris,6,6_run_ball_team_game,run - ball - team - game - play - match - ipl - score - wicket - century,1.0,False
